name,muscle,equipment
Rickshaw Carry,"Muscle Targeted:
              
                Forearms","Equipment Type:
              
                Other"
Single-Leg Press,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Machine"
Landmine twist,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Other"
Weighted pull-up,"Muscle Targeted:
              
                Lats","Equipment Type:
              
                Other"
T-Bar Row with Handle,"Muscle Targeted:
              
                Middle Back","Equipment Type:
              
                Other"
Palms-down wrist curl over bench,"Muscle Targeted:
              
                Forearms","Equipment Type:
              
                Barbell"
Atlas Stones,"Muscle Targeted:
              
                Lower Back","Equipment Type:
              
                Other"
Dumbbell front raise to lateral raise,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Dumbbell"
Clean from Blocks,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Barbell"
Incline Hammer Curls,"Muscle Targeted:
              
                Biceps","Equipment Type:
              
                Dumbbell"
Straight-bar wrist roll-up,"Muscle Targeted:
              
                Forearms",Equipment Type:
Barbell glute bridge,"Muscle Targeted:
              
                Glutes","Equipment Type:
              
                Barbell"
Clean and press,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Barbell"
Triceps dip,"Muscle Targeted:
              
                Triceps","Equipment Type:
              
                Body Only"
Dumbbell farmer's walk,"Muscle Targeted:
              
                Forearms","Equipment Type:
              
                Other"
Palms-up wrist curl over bench,"Muscle Targeted:
              
                Forearms","Equipment Type:
              
                Barbell"
Barbell Full Squat,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Barbell"
Barbell deficit deadlift,"Muscle Targeted:
              
                Lower Back","Equipment Type:
              
                Barbell"
Barbell Deadlift,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                Barbell"
Single-arm palm-in dumbbell shoulder press,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Dumbbell"
Romanian Deadlift With Dumbbells,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                Dumbbell"
Tire flip,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Other"
Clean Deadlift,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                Barbell"
Elbow plank,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Body Only"
Bottoms Up,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Body Only"
Barbell back squat to box,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Barbell"
Clean and jerk,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Barbell"
Single-arm kettlebell push-press,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Kettlebells"
Push-press,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Barbell"
Suspended ab fall-out,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Other"
Military press,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Barbell"
Power snatch-,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Barbell"
Sumo deadlift,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                Barbell"
Hang Clean,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Barbell"
Dumbbell V-Sit Cross Jab,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Dumbbell"
Reverse Band Box Squat,"Muscle Targeted:
              
                Quadriceps",Equipment Type:
Standing palms-in shoulder press,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Dumbbell"
Standing cable low-to-high twist,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Cable"
Decline EZ-bar skullcrusher,"Muscle Targeted:
              
                Triceps","Equipment Type:
              
                E-Z Curl Bar"
Standing behind-the-back wrist curl,"Muscle Targeted:
              
                Forearms","Equipment Type:
              
                Barbell"
Seated finger curl,"Muscle Targeted:
              
                Forearms","Equipment Type:
              
                Barbell"
Wide-grip barbell curl,"Muscle Targeted:
              
                Biceps","Equipment Type:
              
                Barbell"
Dumbbell spell caster,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Dumbbell"
Dumbbell floor press,"Muscle Targeted:
              
                Triceps","Equipment Type:
              
                Dumbbell"
Lying Face Down Plate Neck Resistance,"Muscle Targeted:
              
                Neck","Equipment Type:
              
                Other"
Pullups,"Muscle Targeted:
              
                Lats","Equipment Type:
              
                Body Only"
Decline reverse crunch,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Other"
Dumbbell Bench Press,"Muscle Targeted:
              
                Chest","Equipment Type:
              
                Dumbbell"
Jumping rope,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Body Only"
Seated barbell shoulder press,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Barbell"
EZ-bar spider curl,"Muscle Targeted:
              
                Biceps","Equipment Type:
              
                Barbell"
Smith machine shrug,"Muscle Targeted:
              
                Traps","Equipment Type:
              
                Machine"
Smith Machine Calf Raise,"Muscle Targeted:
              
                Calves","Equipment Type:
              
                Machine"
Romanian Deadlift from Deficit,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                Barbell"
Power Snatch,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                Barbell"
Pushups,"Muscle Targeted:
              
                Chest","Equipment Type:
              
                Body Only"
Barbell walking lunge,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Barbell"
Front Squats With Two Kettlebells,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Kettlebells"
Spider crawl,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Body Only"
Power Clean from Blocks,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                Barbell"
Single Leg Push-off,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Other"
Hip Circles (Prone),"Muscle Targeted:
              
                Abductors",Equipment Type:
Reverse-grip bent-over row,"Muscle Targeted:
              
                Middle Back","Equipment Type:
              
                Barbell"
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,"Muscle Targeted:
              
                Forearms","Equipment Type:
              
                Cable"
Back extension,"Muscle Targeted:
              
                Lower Back","Equipment Type:
              
                Body Only"
Close-grip bench press,"Muscle Targeted:
              
                Chest","Equipment Type:
              
                Barbell"
Cocoons,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Body Only"
Cross-Body Crunch,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Body Only"
Dumbbell Flyes,"Muscle Targeted:
              
                Chest","Equipment Type:
              
                Dumbbell"
Hammer Curls,"Muscle Targeted:
              
                Biceps","Equipment Type:
              
                Dumbbell"
Incline dumbbell bench press,"Muscle Targeted:
              
                Chest","Equipment Type:
              
                Dumbbell"
Low-cable cross-over,"Muscle Targeted:
              
                Chest","Equipment Type:
              
                Cable"
Single-arm high-cable side bend,"Muscle Targeted:
              
                Abdominals","Equipment Type:
              
                Cable"
Seated Dumbbell Press,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Dumbbell"
Standing dumbbell shoulder press,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Dumbbell"
EZ-Bar Curl,"Muscle Targeted:
              
                Biceps","Equipment Type:
              
                E-Z Curl Bar"
Olympic Squat,"Muscle Targeted:
              
                Quadriceps","Equipment Type:
              
                Barbell"
Natural Glute Ham Raise,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                Body Only"
Axle Deadlift,"Muscle Targeted:
              
                Lower Back","Equipment Type:
              
                Other"
Zottman Curl,"Muscle Targeted:
              
                Biceps",Equipment Type:
Glute ham raise-,"Muscle Targeted:
              
                Hamstrings","Equipment Type:
              
                None"
Single-arm lateral raise,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Dumbbell"
Power Partials,"Muscle Targeted:
              
                Shoulders","Equipment Type:
              
                Dumbbell"
Leverage Shrug,"Muscle Targeted:
              
                Traps","Equipment Type:
              
                Machine"
Cable V-bar push-down,"Muscle Targeted:
              
                Triceps","Equipment Type:
              
                Cable"
